trip_id,driver_id,date,duration_min,distance_km,fare,earnings_velocity,motion_events_count,audio_events_count,flagged_moments_count,n_compound_events,max_severity,stress_score,trip_quality_rating,passenger_rating,poor_road_quality,surge_multiplier,pickup_location,dropoff_location,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,v_recent,v_hist,v_driver,v_location,v_opportunity,v_area,v_expected,t_elapsed_hr,t_remaining_hr,e_current,earnings_target,required_velocity,e_future_predicted,e_predicted_total,goal_score,forecast_status,confidence,velocity_std
TRIP_DRV001_01,DRV001,2024-02-06,37.3,20.8,186.78,300.45,2,1,3,0,medium,0.22,good,4.7,False,1.0,Andheri West,BKC,19.056516,72.856213,19.089009,72.880152,300.45,394.84,394.84,351.64,340.05,383.89,373.05,0.622,7.378,186.78,3200,400.0,2752.36,2939.14,0.918,on_track,0.99,0.0
TRIP_DRV001_02,DRV001,2024-02-06,30.3,19.8,206.44,427.19,4,2,6,0,high,0.44,average,4.6,False,1.0,BKC,Lower Parel,19.063842,72.858779,19.06939,72.857319,363.82,394.84,394.84,393.22,379.01,335.34,379.45,1.227,6.773,402.51,3200,400.0,2570.01,2972.52,0.929,on_track,0.612,63.37
TRIP_DRV001_03,DRV001,2024-02-06,31.2,24.5,402.66,400.65,4,3,7,0,high,0.5,average,4.3,False,1.0,Dadar,Kurla,19.063119,72.858986,19.05076,72.872975,376.1,394.84,394.84,410.39,377.49,375.28,390.57,1.847,6.153,610.85,3200,400.0,2403.18,3014.03,0.942,on_track,0.803,24.55
TRIP_DRV001_04,DRV001,2024-02-06,30.6,25.6,319.7,722.57,7,4,11,1,high,0.86,very_poor,4.3,True,1.2,Bandra,Worli,19.049341,72.901685,19.087116,72.888522,516.8,394.84,394.84,417.74,419.15,362.48,397.81,2.457,5.543,979.36,3200,400.0,2205.06,3184.42,0.995,on_track,0.327,205.77
TRIP_DRV001_05,DRV001,2024-02-06,31.0,23.5,219.05,748.94,2,3,5,0,medium,0.34,good,4.5,True,1.5,Malad,Goregaon,19.059571,72.899976,19.100001,72.884243,624.05,394.84,394.84,380.06,420.27,397.67,397.54,3.023,4.977,1366.31,3200,400.0,1978.56,3344.87,1.045,on_track,0.445,124.89
TRIP_DRV001_06,DRV001,2024-02-06,23.5,16.7,266.44,501.52,3,3,6,0,medium,0.42,average,4.4,False,1.0,Powai,Vikhroli,19.091611,72.877431,19.096315,72.862908,657.68,394.84,394.84,363.3,365.2,346.46,372.93,3.498,4.502,1562.74,3200,400.0,1678.93,3241.67,1.013,on_track,0.39,156.16
TRIP_DRV001_07,DRV001,2024-02-06,42.4,35.7,435.3,597.92,2,1,3,0,medium,0.22,good,4.7,False,1.0,Colaba,Nariman Point,19.058255,72.852476,19.061071,72.85795,616.13,394.84,394.84,384.85,366.93,369.53,382.2,4.255,3.745,1985.27,3200,400.0,1431.34,3416.61,1.068,on_track,0.846,18.21
TRIP_DRV001_08,DRV001,2024-02-06,22.1,16.3,218.52,394.29,4,3,7,1,high,0.56,average,4.4,True,1.0,Juhu,Santacruz,19.053533,72.875353,19.062571,72.886075,497.91,394.84,394.84,379.07,426.23,395.98,398.19,4.757,3.243,2130.5,3200,400.0,1291.33,3421.83,1.069,on_track,0.491,103.62
TRIP_DRV001_09,DRV001,2024-02-06,25.6,16.8,392.94,367.45,1,2,3,0,medium,0.2,good,4.5,False,1.0,Borivali,Dahisar,19.087107,72.899707,19.05981,72.88205,453.22,394.84,394.84,393.49,401.2,413.86,399.65,5.267,2.733,2287.28,3200,400.0,1092.24,3379.52,1.056,on_track,0.538,85.77
TRIP_DRV001_10,DRV001,2024-02-06,24.2,13.6,208.18,283.69,4,4,8,1,high,0.62,poor,4.3,True,1.0,Thane,Mulund,19.086542,72.897448,19.081829,72.854054,348.48,394.84,394.84,366.13,420.58,410.81,397.44,5.72,2.28,2401.7,3200,400.0,906.16,3307.86,1.034,on_track,0.607,64.79
TRIP_DRV001_11,DRV001,2024-02-06,33.2,23.6,363.93,472.72,7,4,11,1,high,0.86,very_poor,4.1,False,1.0,Andheri West,BKC,19.092396,72.862193,19.074283,72.89535,374.62,394.84,394.84,426.23,359.07,326.82,380.36,6.373,1.627,2663.27,3200,400.0,618.85,3282.12,1.026,on_track,0.505,98.1
TRIP_DRV001_12,DRV001,2024-02-06,25.2,17.3,230.47,568.81,7,4,11,1,high,0.86,very_poor,4.2,True,1.5,BKC,Lower Parel,19.074026,72.853606,19.050988,72.878421,441.74,394.84,394.84,365.98,398.97,336.36,378.2,6.843,1.157,2902.17,3200,400.0,437.58,3339.75,1.044,on_track,0.44,127.07
TRIP_DRV002_01,DRV002,2024-02-06,51.3,38.8,225.23,383.13,0,0,0,0,none,0.0,excellent,4.6,False,1.0,Koramangala,Indiranagar,12.93818,77.607109,12.915094,77.606861,383.13,357.14,363.38,376.94,352.76,332.91,357.87,0.855,5.145,327.58,2400,400.0,1841.24,2168.82,0.904,on_track,0.99,0.0
TRIP_DRV002_02,DRV002,2024-02-06,44.1,28.1,446.99,449.14,1,2,3,0,medium,0.2,good,4.8,False,1.0,HSR Layout,Electronic City,12.911213,77.639711,12.95446,77.634822,416.14,357.14,371.3,396.52,389.99,319.74,369.77,1.707,4.293,657.7,2400,400.0,1587.42,2245.12,0.935,on_track,0.752,33.0
TRIP_DRV002_03,DRV002,2024-02-06,33.4,27.2,201.58,468.86,1,2,3,0,medium,0.2,good,4.6,False,1.0,Whitefield,Marathahalli,12.961816,77.623373,12.948823,77.640466,433.71,357.14,375.52,374.71,387.88,355.91,373.91,2.313,3.687,918.7,2400,400.0,1378.61,2297.31,0.957,on_track,0.74,35.15
TRIP_DRV002_04,DRV002,2024-02-06,45.8,29.5,311.93,370.39,2,1,3,0,medium,0.22,good,4.8,False,1.0,MG Road,Cunningham Road,12.93796,77.634442,12.925392,77.640416,429.46,357.14,374.5,400.36,325.78,341.6,363.35,3.16,2.84,1201.43,2400,400.0,1031.91,2233.34,0.931,on_track,0.629,59.07
TRIP_DRV002_05,DRV002,2024-02-06,36.9,24.8,203.43,386.47,0,0,0,0,none,0.0,excellent,5.0,False,1.0,Jayanagar,JP Nagar,12.920359,77.603157,12.944098,77.598708,408.57,357.14,369.49,391.08,336.12,331.55,359.55,3.842,2.158,1439.11,2400,400.0,775.91,2215.02,0.923,on_track,0.819,22.1
TRIP_DRV002_06,DRV002,2024-02-06,32.1,23.6,292.74,506.07,0,0,0,0,none,0.0,excellent,4.8,False,1.0,Hebbal,Yelahanka,12.953361,77.611863,12.960604,77.620624,420.98,357.14,372.46,347.35,395.81,318.81,361.38,4.443,1.557,1709.86,2400,400.0,562.67,2272.53,0.947,on_track,0.54,85.09
