audio_feat_id,trip_id,driver_id,window_start,window_end,window_size_seconds,hop_size_seconds,elapsed_seconds,db_level,baseline_db,db_deviation,energy_slope,turn_gap_sec,gap_ratio,zcr,spectral_centroid,spectral_flux,f0_mean,f0_std,speech_rate,is_valid
AF00001,TRIP_DRV003_01,DRV003,2024-02-06 06:30:00,2024-02-06 06:30:05,5,2,0,48.55,51.0,-2.47,15.84,1.401,0.534,0.3764,1433.1,0.01918,132.9,27.45,2.84,True
AF00002,TRIP_DRV003_01,DRV003,2024-02-06 06:30:02,2024-02-06 06:30:07,5,2,2,47.16,51.0,-3.85,5.63,1.466,0.485,0.2136,1435.3,0.01416,115.6,12.99,3.1,True
AF00003,TRIP_DRV003_01,DRV003,2024-02-06 06:30:04,2024-02-06 06:30:09,5,2,4,47.1,51.0,-3.92,9.23,0.558,0.553,0.1789,1607.2,0.01438,113.3,9.0,4.68,True
AF00004,TRIP_DRV003_01,DRV003,2024-02-06 06:30:06,2024-02-06 06:30:11,5,2,6,57.84,51.0,6.82,9.51,0.579,0.595,0.356,1069.5,0.0151,142.7,16.69,4.68,True
AF00005,TRIP_DRV003_01,DRV003,2024-02-06 06:30:08,2024-02-06 06:30:13,5,2,8,57.57,51.0,6.56,12.52,0.983,0.527,0.3038,1303.6,0.01992,157.4,14.03,3.96,True
AF00006,TRIP_DRV003_01,DRV003,2024-02-06 06:30:10,2024-02-06 06:30:15,5,2,10,60.87,51.0,9.85,16.65,1.068,0.184,0.3635,1094.7,0.00638,152.3,21.43,3.2,True
AF00007,TRIP_DRV003_01,DRV003,2024-02-06 06:30:12,2024-02-06 06:30:17,5,2,12,57.92,51.0,6.9,4.18,0.595,0.383,0.2656,1286.6,0.01878,149.8,21.34,2.63,True
AF00008,TRIP_DRV003_01,DRV003,2024-02-06 06:30:14,2024-02-06 06:30:19,5,2,14,48.14,51.0,-2.88,12.44,1.372,0.511,0.24,854.5,0.01759,152.6,26.78,4.11,True
AF00009,TRIP_DRV003_01,DRV003,2024-02-06 06:30:16,2024-02-06 06:30:21,5,2,16,55.35,51.0,4.34,19.4,1.181,0.418,0.3796,882.3,0.01005,146.4,23.58,5.36,True
AF00010,TRIP_DRV003_01,DRV003,2024-02-06 06:30:18,2024-02-06 06:30:23,5,2,18,46.43,51.0,-4.59,3.4,1.166,0.255,0.2144,1627.2,0.0135,140.0,8.56,2.96,True
