audio_feat_id,trip_id,driver_id,window_start,window_end,window_size_seconds,hop_size_seconds,elapsed_seconds,db_level,baseline_db,db_deviation,energy_slope,turn_gap_sec,gap_ratio,zcr,spectral_centroid,spectral_flux,f0_mean,f0_std,speech_rate,is_valid
AF00001,TRIP_DRV003_01,DRV003,2024-02-06 06:30:00,2024-02-06 06:30:05,5,2,0,45.33,48.8,-3.43,13.44,0.796,0.595,0.3099,1639.5,0.00974,142.2,10.53,3.3,True
AF00002,TRIP_DRV003_01,DRV003,2024-02-06 06:30:02,2024-02-06 06:30:07,5,2,2,57.25,48.8,8.5,11.35,0.821,0.35,0.2418,1066.0,0.01694,152.6,18.02,4.74,True
AF00003,TRIP_DRV003_01,DRV003,2024-02-06 06:30:04,2024-02-06 06:30:09,5,2,4,57.75,48.8,9.0,6.05,1.063,0.461,0.1606,1298.2,0.01807,157.0,24.22,4.2,True
AF00004,TRIP_DRV003_01,DRV003,2024-02-06 06:30:06,2024-02-06 06:30:11,5,2,6,56.72,48.8,7.96,16.94,0.849,0.44,0.4166,868.6,0.00926,155.7,19.37,3.71,True
AF00005,TRIP_DRV003_01,DRV003,2024-02-06 06:30:08,2024-02-06 06:30:13,5,2,8,52.92,48.8,4.16,12.15,0.561,0.565,0.2783,1314.8,0.01491,113.3,12.88,2.83,True
AF00006,TRIP_DRV003_01,DRV003,2024-02-06 06:30:10,2024-02-06 06:30:15,5,2,10,54.32,48.8,5.57,6.47,0.515,0.217,0.2308,971.8,0.01882,141.7,14.23,5.31,True
AF00007,TRIP_DRV003_01,DRV003,2024-02-06 06:30:12,2024-02-06 06:30:17,5,2,12,55.59,48.8,6.83,13.55,0.525,0.576,0.416,1091.8,0.01011,139.2,32.96,4.94,True
AF00008,TRIP_DRV003_01,DRV003,2024-02-06 06:30:14,2024-02-06 06:30:19,5,2,14,47.31,48.8,-1.44,10.95,0.809,0.579,0.3171,1526.0,0.02153,111.5,31.96,3.32,True
AF00009,TRIP_DRV003_01,DRV003,2024-02-06 06:30:16,2024-02-06 06:30:21,5,2,16,52.82,48.8,4.06,10.76,1.33,0.549,0.3703,1178.4,0.01846,153.1,16.02,5.08,True
AF00010,TRIP_DRV003_01,DRV003,2024-02-06 06:30:18,2024-02-06 06:30:23,5,2,18,56.52,48.8,7.77,12.27,0.947,0.238,0.3154,1123.5,0.00924,129.1,22.36,4.91,True
AF00011,TRIP_DRV003_01,DRV003,2024-02-06 06:30:20,2024-02-06 06:30:25,5,2,20,55.39,48.8,6.64,6.89,1.119,0.205,0.2155,992.0,0.02117,129.3,31.65,3.78,True
AF00012,TRIP_DRV003_01,DRV003,2024-02-06 06:30:22,2024-02-06 06:30:27,5,2,22,53.26,48.8,4.51,13.6,0.69,0.313,0.2151,1450.7,0.01435,151.7,18.24,4.64,True
AF00013,TRIP_DRV003_01,DRV003,2024-02-06 06:30:24,2024-02-06 06:30:29,5,2,24,46.01,48.8,-2.74,13.95,1.473,0.173,0.329,962.8,0.01017,148.3,15.12,4.59,True
AF00014,TRIP_DRV003_01,DRV003,2024-02-06 06:30:26,2024-02-06 06:30:31,5,2,26,44.78,48.8,-3.97,12.37,1.379,0.202,0.4024,1613.8,0.01066,133.6,16.64,5.26,True
AF00015,TRIP_DRV003_01,DRV003,2024-02-06 06:30:28,2024-02-06 06:30:33,5,2,28,51.3,48.8,2.55,10.83,0.542,0.533,0.3241,1148.3,0.00907,145.0,30.11,3.88,True
AF00016,TRIP_DRV003_01,DRV003,2024-02-06 06:30:30,2024-02-06 06:30:35,5,2,30,54.81,48.8,6.06,13.22,0.452,0.255,0.2196,1501.1,0.00721,136.5,15.71,4.64,True
AF00017,TRIP_DRV003_01,DRV003,2024-02-06 06:30:32,2024-02-06 06:30:37,5,2,32,55.09,48.8,6.34,18.06,0.793,0.311,0.3204,1192.6,0.02002,112.0,29.27,3.3,True
AF00018,TRIP_DRV003_01,DRV003,2024-02-06 06:30:34,2024-02-06 06:30:39,5,2,34,53.13,48.8,4.38,3.79,1.369,0.471,0.2953,1009.2,0.0117,152.9,9.83,5.2,True
