sensor_id,trip_id,driver_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,speed_kmh,gps_lat,gps_lon,sample_rate_hz,phone_orientation,event_label_gt
ACC00001,TRIP_DRV003_01,DRV003,2024-02-06 06:30:00,0.0,-0.2139,-0.2431,11.6134,0.926,1.966,4.451,0,28.652989,77.189282,25,FLAT,SPEED_BUMP
ACC00002,TRIP_DRV003_01,DRV003,2024-02-06 06:30:01,1.5,0.1409,-0.0911,9.7641,-0.954,-0.195,-0.813,76.0,28.653079,77.189322,25,LANDSCAPE,NORMAL
ACC00003,TRIP_DRV003_01,DRV003,2024-02-06 06:30:03,3.0,0.1556,0.2735,9.6386,0.381,-0.205,0.505,38.6,28.653156,77.189371,25,FLAT,NORMAL
ACC00004,TRIP_DRV003_01,DRV003,2024-02-06 06:30:04,4.5,0.1272,0.2682,9.6119,-0.082,0.826,0.507,78.8,28.653221,77.189423,25,PORTRAIT,NORMAL
ACC00005,TRIP_DRV003_01,DRV003,2024-02-06 06:30:06,6.0,-0.2665,0.2205,9.802,0.316,0.768,-1.361,40.1,28.653272,77.189475,25,PORTRAIT,NORMAL
ACC00006,TRIP_DRV003_01,DRV003,2024-02-06 06:30:07,7.5,0.0194,0.223,9.8919,-0.399,-0.599,-1.91,41.3,28.653336,77.189544,25,FLAT,NORMAL
ACC00007,TRIP_DRV003_01,DRV003,2024-02-06 06:30:09,9.0,-0.2906,-0.0517,9.6856,0.771,0.659,-1.486,33.7,28.65342,77.189583,25,LANDSCAPE,NORMAL
ACC00008,TRIP_DRV003_01,DRV003,2024-02-06 06:30:10,10.5,-0.1972,0.0056,9.9066,0.314,0.291,-0.375,63.0,28.653374,77.189655,25,FLAT,NORMAL
ACC00009,TRIP_DRV003_01,DRV003,2024-02-06 06:30:12,12.0,1.3002,-0.4009,9.8513,1.274,-0.26,-47.371,63.7,28.653295,77.189771,25,PORTRAIT,AGG_RIGHT_LANE_CHANGE
ACC00010,TRIP_DRV003_01,DRV003,2024-02-06 06:30:13,13.5,-0.1225,-0.1514,9.6955,0.494,-0.04,1.813,32.9,28.653257,77.189869,25,PORTRAIT,NORMAL
ACC00011,TRIP_DRV003_01,DRV003,2024-02-06 06:30:15,15.0,0.1702,-1.5695,9.9997,-0.056,-1.064,1.777,50.1,28.653202,77.189981,25,FLAT,AGGRESSIVE_BRAKING
ACC00012,TRIP_DRV003_01,DRV003,2024-02-06 06:30:16,16.5,-0.0895,-0.1016,9.6072,-0.661,-0.39,-0.9,76.0,28.653133,77.190058,25,LANDSCAPE,NORMAL
